"A" "B" "P" "BT"
"330" 0 0 0.001 3.94018878977498e-05
"331" 0 0 0 1.31247112026278e-05
"332" 0 0 0 1.80816149730756e-06
"333" 0 0 0 3.49566372633836e-05
"334" 0.001 0.002 0.001 0.000268801770665905
"335" 0 0 0 7.19620252276343e-10
"336" 0 0 0 8.56474658972317e-08
"337" 0 0 0 0.000124533545980077
"338" 0.004 0.003 0.001 0.000640466055546463
"339" 0 0 0 0.000106454165691772
"340" 0.003 0.003 0.005 0.00168716342060227
"341" 0.003 0.003 0.001 0.00117264655611804
"342" 0 0 0 1.87434112675078e-09
"343" 0 0 0 1.40140773097208e-06
"344" 0 0.001 0 2.81761143307024e-05
"345" 0.001 0 0 0.0004211570534014
"346" 0 0 0.001 0.000360943067726827
"347" 0 0.001 0 0.000546719548578989
"348" 0 0 0 1.86103554788986e-09
"349" 0 0 0 3.45609495504551e-05
"350" 0 0 0 1.45547859101702e-05
"351" 0.004 0.004 0.001 0.00178405247088975
"352" 0 0 0 0.000108685178135781
"353" 0 0 0 0.00021162811312736
"354" 0.002 0 0.001 0.000720230885465911
"355" 0 0 0 3.76189940631821e-06
"356" 0 0.001 0 8.98258242643113e-05
"357" 0 0 0 1.41332329450794e-06
"358" 0 0 0 3.53468579858962e-05
"359" 0 0.002 0.001 0.000798616229812699
"360" 0.001 0 0 3.16669913891232e-05
"361" 0.001 0.004 0 0.000899999727591028
"362" 0.002 0.001 0 0.00034408618947035
"363" 0 0 0 1.74186269297216e-06
"364" 0.008 0.012 0.006 0.00817197517989476
"365" 0 0 0 7.40081362604617e-06
"366" 0 0 0 4.60359164677904e-07
"367" 0 0.001 0 5.54097272065235e-07
"368" 0 0 0.001 0.000199549689015921
"369" 0.001 0.001 0 4.67026172301654e-05
"370" 0 0 0 1.00189900942294e-06
"371" 0 0 0 1.33433072067035e-05
"372" 0.001 0 0 3.39686191196398e-05
"373" 0 0 0 2.77491969387089e-05
"374" 0.005 0.002 0 0.000502981168972072
"375" 0 0 0 6.2506539395546e-06
"376" 0 0 0 0.000105342105176764
"377" 0.002 0.001 0.001 0.000137127095137135
"378" 0 0 0 7.85486635579424e-06
"379" 0 0 0 6.96166457814229e-11
"380" 0 0.001 0 9.53849379732308e-05
"381" 0.004 0.003 0 0.000446527169116195
"382" 0 0 0 1.3528344296021e-05
"383" 0.002 0.001 0 0.000643847354713789
"384" 0 0 0 0.000455059985999595
"385" 0.002 0 0 0.000565751764268208
"386" 0 0 0 0.000103700028429188
"387" 0 0 0 9.12785042439523e-07
"388" 0.002 0.004 0.001 0.000833208228581461
"389" 0.002 0 0 1.51476117868921e-05
"390" 0.001 0 0 1.04848989209705e-05
"391" 0 0.005 0 0.000753367701539887
"392" 0.001 0.001 0 0.000209983083475751
"393" 0.003 0.001 0 0.000406261063280011
"394" 0.006 0.002 0.002 0.00340229574598849
"395" 0 0 0 5.08424213130354e-06
"396" 0 0 0 2.15310839231098e-05
"397" 0 0.001 0 8.03359786040181e-05
"398" 0.001 0.002 0.001 0.000310560905334878
"399" 0.001 0 0 7.82042578187925e-05
"400" 0 0 0 3.88961666286658e-06
"401" 0 0.001 0 6.04884939512385e-05
"402" 0 0.003 0 0.000274414158651037
"403" 0 0 0 4.60011239028502e-05
"404" 0 0.002 0.002 0.000252847575540782
"405" 0 0 0 2.07220979544509e-05
"406" 0 0 0 2.29081609237625e-09
"407" 0.006 0.007 0.001 0.0045825661642781
"408" 0 0 0 5.26351073837361e-10
"409" 0 0 0 3.68044255211197e-05
"410" 0.013 0.012 0.011 0.0101660388523083
"411" 0 0.001 0.001 0.000274022269837859
"412" 0.013 0.006 0.005 0.00728798912470408
"413" 0 0 0 1.48296111135426e-06
"414" 0.003 0 0 0.000547855294332766
"415" 0 0 0 5.2602415756553e-09
"416" 0 0 0 5.00204766495926e-10
"417" 0 0 0 2.77992420483208e-06
"418" 0 0 0 3.70967841009096e-05
"419" 0 0.002 0 0.000132140821435422
"420" 0 0 0 1.62269772063794e-07
"421" 0.004 0.001 0 0.000750494778564148
"422" 0 0 0 1.61992277036838e-07
"423" 0.016 0.016 0.016 0.0156673098870672
"424" 0 0 0 5.6925484080983e-06
"425" 0.001 0.001 0 0.000136059720254877
"426" 0.001 0 0.001 0.000259504458315907
"427" 0 0 0 4.21633479241734e-08
"428" 0.003 0 0 0.000854770051241016
"429" 0 0 0 3.94381952206757e-07
"430" 0 0 0 5.51724096063966e-05
"431" 0 0.001 0.002 0.000923761179322025
"432" 0.001 0.002 0 0.000233822891672619
"433" 0 0 0 5.60888096523549e-07
"434" 0 0 0 7.15445998222819e-07
"435" 0 0.004 0.001 0.000856203504341346
"436" 0 0 0 1.51950727333983e-07
"437" 0 0 0 9.29181113029642e-06
"438" 0.001 0 0 4.42721478228769e-05
"439" 0 0 0 1.4163627563013e-06
"440" 0 0.001 0 3.73159358746378e-07
"441" 0.001 0 0.001 4.42905521409465e-05
"442" 0.002 0.001 0 0.000963694281900018
"443" 0.002 0.005 0.001 0.0009385384750068
"444" 0.001 0 0.001 0.000440734558409317
"445" 0.001 0 0.001 8.57518837261706e-05
"446" 0 0 0 5.87034314381008e-07
"447" 0 0 0 6.71297715082453e-06
"448" 0 0.002 0 0.000484439265591607
"449" 0 0.001 0 4.79738973170329e-05
"450" 0 0.001 0.001 0.000597738521340707
"451" 0.001 0 0.001 8.5596155592671e-05
"452" 0.005 0.002 0 0.000944653067629142
"453" 0.008 0.01 0.009 0.00807845575060073
