"A" "B" "P" "BT"
"297" 0.001 0 0.001 4.02553660469041e-05
"298" 0.044 0.046 0.048 0.0453050362094676
"299" 0 0 0 9.42245678148268e-07
"300" 0.003 0.003 0.003 0.000450057913396029
"301" 0 0 0 1.12577733013541e-06
"302" 0.148 0.172 0.15 0.181306609506423
"303" 0.055 0.056 0.056 0.0571604901638864
"304" 0 0 0.001 7.31774658883078e-05
"305" 0.023 0.024 0.025 0.0220956822687389
"306" 0 0 0.001 6.18354853081371e-05
"307" 0 0 0.001 6.796796710129e-05
"308" 0.096 0.087 0.078 0.0917629132727611
"309" 0.01 0.007 0.01 0.00884171610971085
"310" 0.261 0.247 0.275 0.278180523728727
"311" 0.015 0.012 0.017 0.00983664511876625
"312" 0.001 0 0 0.000296371524950323
"313" 0.004 0.001 0.004 0.000703399191538834
"314" 0.034 0.032 0.027 0.0245700608701859
"315" 0 0.002 0.005 0.00041635303417531
"316" 0 0 0.002 6.80217313290266e-05
"317" 0.007 0.013 0.016 0.00644441866750456
"318" 0.004 0.007 0.01 0.00285635994400335
"319" 0.026 0.031 0.041 0.0269956257618649
"320" 0.031 0.02 0.028 0.02620106766192
"321" 0.012 0.008 0.015 0.00871260606568991
"322" 0.004 0.001 0.003 0.00157407795580289
"323" 0.006 0.005 0.006 0.00136434490303738
"324" 0.008 0.011 0.01 0.00593097924826147
"325" 0.008 0.005 0.014 0.00292895503057611
"326" 0 0 0 1.4122036873232e-13
"327" 0.009 0.01 0.008 0.00529133759688083
"328" 0.008 0.006 0.005 0.00593410771026848
"329" 0.053 0.053 0.052 0.0490752415601783
"330" 0.005 0.009 0.008 0.00442140416639203
"331" 0.016 0.016 0.014 0.0109406205759853
"332" 0.005 0.002 0.004 0.000460289339569986
"333" 0.003 0.001 0.002 0.000616180636080266
"334" 0.001 0 0 5.96607821246042e-06
"335" 0.004 0.012 0.013 0.00516575953293508
"336" 0 0 0 3.3970517865356e-07
"337" 0 0 0 2.70617972586429e-07
